article_id	start_position	end_position	entity_text	entity_type
8	52	54	前天	time
8	189	193	二十分鐘	time
8	293	295	五年	time
8	540	544	兩個禮拜	time
8	726	732	前天……前天	time
8	858	860	前天	time
8	898	900	前天	time
8	1549	1551	五天	time
8	1622	1626	五天禮拜	time
8	2560	2563	兩個月	time
16	51	55	九、十點	time
16	60	66	九、十點晚上	time
16	122	124	三年	time
16	130	132	三年	time
16	247	249	三年	time
16	591	595	近5個月	time
0	1268	1271	8公分	med_exam
0	2576	2578	五天	time
0	2604	2609	3月18號	time
0	2630	2635	3月24日	time
0	2650	2652	3月	time
0	2662	2670	：禮拜二到禮拜四	time
0	2692	2697	3月31日	time
24	48	51	三個月	time
24	54	56	公斤	money
24	113	115	三年	time
24	141	144	三年間	time
24	1018	1023	5月28日	time
24	1381	1384	一點點	time
24	1381	1410	一點點麻煩啦，不比這個……民眾：不能馬上拿啦。醫師：啊明明	time
24	1858	1861	二個月	time
24	1869	1872	二個月	time
24	1986	1989	五個月	time
11	18	21	九千七	money
11	61	64	零四百	money
11	67	70	零五百	money
11	81	86	今天九千七	time
11	135	139	三個禮拜	time
11	514	518	三個禮拜	time
11	557	561	三個禮拜	time
11	569	573	三個禮拜	time
11	645	649	三個禮拜	time
11	672	676	三個禮拜	time
11	693	697	兩個禮拜	time
11	707	713	後四月二十日	time
11	751	755	兩個禮拜	time
11	923	925	小櫻	name
9	70	74	兩千多塊	money
9	187	190	5公斤	med_exam
9	286	294	一次四，四十分鐘	time
13	145	150	2月20號	time
13	394	397	六個月	time
13	550	553	六個月	time
13	636	641	4月20號	time
13	662	664	5月	time
13	671	673	5月	time
13	678	681	5月初	time
13	701	705	兩個禮拜	time
13	721	723	半月	time
13	731	735	5月1號	time
13	774	776	5月	time
13	780	788	一點……四個禮拜	time
13	793	797	四個禮拜	time
13	804	806	4月	time
13	830	832	4月	time
13	891	896	3月20號	time
13	946	950	四個禮拜	time
13	1050	1055	2月20號	time
1	235	237	中午	time
1	254	256	中午	time
1	443	446	一點點	time
1	802	805	三個月	time
1	852	854	狹窄	name
1	906	908	二百	money
1	917	919	二百	money
1	988	990	兩百	money
1	997	999	兩百	money
1	1021	1023	兩百	money
1	1052	1055	五個月	time
1	1385	1387	六年	time
1	1394	1396	四年	time
1	1404	1406	四年	time
1	1414	1416	四年	time
1	1525	1528	一點點	time
1	1533	1536	一點點	time
1	1575	1578	一點點	time
1	1765	1768	一點點	time
1	2261	2263	半月	time
1	2295	2299	兩個禮拜	time
1	2334	2338	三個禮拜	time
1	2518	2520	狹窄	name
1	2591	2593	爬樓	location
1	2598	2600	幾樓	location
23	275	278	三個月	time
23	339	341	4月	time
23	535	538	三個月	time
23	540	543	二個月	time
23	556	559	三個月	time
23	629	633	8月1號	time
23	1584	1586	8月	time
23	1592	1596	8月2號	time
